Department,EducationField,JobRole,MaritalStatus,Gender,MonthlyIncome,TotalWorkingYears,YearsAtCompany,YearsWithCurrManager,JobLevel,DistanceFromHome,Age
Research & Development,Medical,Manufacturing Director,Single,Male,6032,8,5,2,2,6,41
Sales,Medical,Sales Representative,Single,Male,2976,5,0,0,2,4,47
Research & Development,Life Sciences,Research Director,Single,Female,15992,16,1,0,4,23,42
Sales,Life Sciences,Sales Executive,Married,Male,4649,4,4,2,2,2,29
Human Resources,Technical Degree,Human Resources,Divorced,Male,2696,4,3,0,1,2,42
Research & Development,Medical,Laboratory Technician,Married,Female,2370,8,8,7,1,2,32
Sales,Medical,Manager,Married,Female,12504,15,0,0,3,29,48
Research & Development,Medical,Research Scientist,Divorced,Male,5974,13,7,7,2,6,37
Sales,Technical Degree,Sales Executive,Married,Female,4736,4,2,2,2,25,30
Sales,Life Sciences,Sales Executive,Married,Male,5296,8,8,7,2,1,26
Research & Development,Other,Healthcare Representative,Single,Male,6781,14,1,0,2,2,42
Sales,Technical Degree,Sales Representative,Single,Female,2174,3,3,2,1,1,21
Sales,Medical,Sales Executive,Single,Female,6653,7,1,0,2,1,36
Sales,Medical,Sales Executive,Married,Male,9699,16,13,12,3,3,36
Research & Development,Medical,Healthcare Representative,Married,Male,6755,15,3,2,2,1,57
Research & Development,Life Sciences,Laboratory Technician,Married,Female,2213,10,7,7,1,10,40
Sales,Medical,Sales Representative,Single,Male,2610,3,3,2,1,9,21
Sales,Marketing,Sales Representative,Single,Female,2851,1,1,0,1,5,33
Research & Development,Medical,Laboratory Technician,Married,Female,3452,17,5,3,1,10,37
Research & Development,Medical,Manufacturing Director,Married,Female,5258,7,1,0,2,7,46
Sales,Marketing,Sales Executive,Single,Male,9355,8,8,7,2,4,41
Research & Development,Technical Degree,Healthcare Representative,Single,Male,10496,20,4,3,3,10,50
Sales,Marketing,Sales Executive,Married,Male,6380,8,6,0,2,22,40
Research & Development,Life Sciences,Research Scientist,Single,Male,2657,3,2,2,1,9,31
Sales,Life Sciences,Sales Representative,Single,Female,2716,1,1,0,1,12,21
Research & Development,Life Sciences,Research Scientist,Single,Male,2201,6,3,2,1,23,29
Research & Development,Life Sciences,Healthcare Representative,Single,Male,6540,10,1,0,2,9,35
Research & Development,Medical,Laboratory Technician,Divorced,Male,3816,5,5,4,1,1,27
Sales,Life Sciences,Sales Executive,Single,Male,5253,7,7,7,2,9,28
Research & Development,Other,Healthcare Representative,Single,Male,10965,26,5,0,3,7,49
Sales,Life Sciences,Sales Executive,Married,Female,4936,18,7,7,2,14,51
Research & Development,Life Sciences,Research Scientist,Married,Female,2543,6,2,2,1,2,36
Sales,Marketing,Sales Executive,Single,Male,5304,9,5,4,2,19,34
Research & Development,Life Sciences,Manager,Single,Female,16659,30,5,2,4,2,55
Sales,Marketing,Sales Executive,Divorced,Female,4260,5,5,3,2,10,24
Sales,Technical Degree,Sales Representative,Married,Male,2476,1,1,0,1,2,30
Research & Development,Technical Degree,Research Scientist,Single,Male,3102,7,6,4,1,3,26
Research & Development,Medical,Research Scientist,Married,Female,2244,2,2,2,1,11,22
Sales,Medical,Sales Executive,Married,Male,7596,10,10,0,3,2,36
Research & Development,Technical Degree,Research Scientist,Single,Male,2285,3,1,0,1,4,30
Research & Development,Life Sciences,Laboratory Technician,Divorced,Female,3034,18,18,17,1,14,37
Sales,Marketing,Sales Executive,Divorced,Female,5715,8,5,3,2,2,40
Research & Development,Life Sciences,Laboratory Technician,Divorced,Female,2576,8,5,2,1,1,42
Research & Development,Life Sciences,Manufacturing Director,Single,Male,4197,18,1,1,2,10,37
Research & Development,Life Sciences,Research Director,Divorced,Male,14336,25,25,9,4,12,43
Research & Development,Medical,Laboratory Technician,Married,Female,3448,20,1,0,2,2,40
Research & Development,Medical,Research Director,Married,Male,19406,24,4,2,5,5,54
Sales,Marketing,Sales Executive,Married,Female,6538,6,3,2,2,4,34
Research & Development,Medical,Manufacturing Director,Married,Female,4306,13,13,12,2,7,31
Research & Development,Medical,Laboratory Technician,Married,Male,2258,8,3,2,1,21,43
Research & Development,Other,Healthcare Representative,Divorced,Female,4522,8,5,2,2,8,43
Sales,Life Sciences,Sales Executive,Single,Female,4487,5,5,3,2,4,25
Research & Development,Medical,Research Scientist,Married,Female,4449,15,13,7,2,25,37
Research & Development,Life Sciences,Laboratory Technician,Married,Male,2218,4,4,2,1,1,31
Research & Development,Life Sciences,Manager,Divorced,Male,19197,21,21,6,5,1,39
Sales,Life Sciences,Sales Executive,Married,Female,13212,36,7,7,4,6,56
Sales,Technical Degree,Sales Executive,Single,Female,6577,6,5,4,2,12,30
Sales,Marketing,Sales Executive,Married,Male,8392,10,10,7,3,1,41
Research & Development,Medical,Laboratory Technician,Divorced,Male,4558,10,10,8,2,17,28
Research & Development,Medical,Laboratory Technician,Married,Male,4031,6,2,2,1,3,25
Research & Development,Medical,Manufacturing Director,Married,Male,7969,28,5,4,3,3,52
Research & Development,Life Sciences,Research Scientist,Married,Male,2654,8,2,2,1,10,45
Research & Development,Life Sciences,Manager,Married,Female,16555,31,5,4,4,4,52
Research & Development,Life Sciences,Research Scientist,Divorced,Female,4556,19,5,2,2,29,42
Research & Development,Life Sciences,Manufacturing Director,Single,Female,6091,11,5,2,2,2,30
Research & Development,Life Sciences,Manager,Married,Female,19566,33,29,10,5,7,60
Research & Development,Medical,Manufacturing Director,Divorced,Female,4810,19,10,8,2,18,46
Research & Development,Technical Degree,Healthcare Representative,Married,Female,4523,7,6,4,2,28,42
Sales,Technical Degree,Sales Representative,Single,Female,3202,6,5,4,1,1,24
Sales,Marketing,Sales Representative,Divorced,Female,2351,3,2,0,1,6,34
Research & Development,Life Sciences,Laboratory Technician,Married,Male,1702,1,1,0,1,2,38
Sales,Life Sciences,Manager,Married,Female,18041,21,20,12,5,2,40
Research & Development,Life Sciences,Research Scientist,Divorced,Female,2886,3,3,2,1,23,26
Research & Development,Life Sciences,Laboratory Technician,Married,Male,2097,9,5,4,1,3,30
Research & Development,Medical,Research Director,Married,Male,11935,10,10,7,3,3,29
Research & Development,Technical Degree,Research Scientist,Married,Female,2546,6,2,1,1,25,29
Human Resources,Technical Degree,Human Resources,Single,Male,2564,1,1,0,1,2,19
Sales,Other,Sales Executive,Married,Female,8412,10,9,8,3,22,30
Sales,Marketing,Manager,Divorced,Male,14118,32,1,0,4,29,57
Research & Development,Life Sciences,Manager,Married,Male,17046,28,27,7,4,29,50
Research & Development,Medical,Laboratory Technician,Single,Female,2564,12,11,7,1,2,30
Sales,Marketing,Sales Executive,Married,Female,10266,22,18,11,3,28,60
Research & Development,Medical,Manufacturing Director,Divorced,Female,5070,20,5,4,2,2,47
Research & Development,Life Sciences,Research Director,Married,Male,17861,26,3,1,4,2,46
Research & Development,Life Sciences,Laboratory Technician,Single,Male,4230,6,5,3,1,22,35
Research & Development,Life Sciences,Laboratory Technician,Single,Female,3780,19,1,0,2,8,54
Research & Development,Life Sciences,Research Scientist,Divorced,Male,2768,14,7,7,1,2,34
Sales,Marketing,Sales Executive,Married,Female,9071,15,3,2,3,10,46
Research & Development,Life Sciences,Manufacturing Director,Divorced,Male,10648,13,13,8,3,9,31
Research & Development,Medical,Manager,Married,Male,13610,15,7,7,3,15,33
Research & Development,Medical,Laboratory Technician,Divorced,Male,3408,8,4,3,1,10,33
Sales,Marketing,Sales Representative,Single,Male,2983,4,3,2,1,7,30
Research & Development,Life Sciences,Healthcare Representative,Married,Male,7632,10,8,0,3,16,35
Research & Development,Life Sciences,Healthcare Representative,Married,Male,9824,12,1,0,3,20,31
Human Resources,Human Resources,Human Resources,Divorced,Female,9950,11,3,2,3,23,34
Research & Development,Other,Laboratory Technician,Married,Male,2093,8,2,0,1,5,42
Sales,Medical,Sales Executive,Single,Male,9980,10,10,7,3,10,36
Research & Development,Technical Degree,Laboratory Technician,Single,Male,3894,4,2,2,1,4,22
Sales,Marketing,Sales Executive,Married,Female,4051,14,9,7,2,2,48
Sales,Life Sciences,Manager,Single,Female,16835,37,10,7,4,18,55
Sales,Life Sciences,Sales Executive,Single,Male,6230,16,14,10,2,10,41
Sales,Marketing,Sales Executive,Married,Male,4717,15,11,9,2,1,35
Research & Development,Life Sciences,Manufacturing Director,Single,Female,13237,22,20,13,4,6,40
Research & Development,Life Sciences,Laboratory Technician,Married,Female,3755,8,8,7,1,8,39
Sales,Life Sciences,Sales Executive,Single,Male,6582,10,6,5,2,2,31
Research & Development,Medical,Manufacturing Director,Married,Male,7406,10,10,8,3,24,42
Sales,Other,Sales Executive,Married,Male,4805,9,8,7,2,2,45
Human Resources,Life Sciences,Human Resources,Divorced,Female,2741,8,7,0,1,17,26
Research & Development,Technical Degree,Manufacturing Director,Divorced,Male,4262,8,3,2,2,19,29
Research & Development,Medical,Research Director,Divorced,Female,16184,10,6,5,4,1,33
Sales,Life Sciences,Manager,Divorced,Male,11557,10,5,1,3,7,31
Sales,Marketing,Sales Representative,Single,Male,1878,0,0,0,1,5,18
Sales,Other,Sales Executive,Divorced,Male,10932,20,1,1,3,28,40
Research & Development,Other,Healthcare Representative,Single,Female,6811,10,8,7,2,2,41
Sales,Medical,Sales Executive,Divorced,Male,4306,8,0,0,2,29,26
Sales,Medical,Sales Executive,Single,Female,4859,5,5,3,2,1,35
Sales,Life Sciences,Sales Executive,Single,Male,5337,10,10,7,2,21,34
Research & Development,Technical Degree,Laboratory Technician,Single,Male,2340,1,1,0,1,24,26
Research & Development,Technical Degree,Manufacturing Director,Single,Female,7491,12,6,2,3,1,37
Research & Development,Medical,Healthcare Representative,Married,Female,10527,28,2,2,3,18,46
Sales,Life Sciences,Manager,Married,Female,16595,22,18,8,4,2,41
Sales,Medical,Sales Executive,Divorced,Male,8834,9,9,7,3,9,37
Research & Development,Technical Degree,Research Scientist,Divorced,Male,5577,18,10,9,2,6,52
Sales,Other,Sales Executive,Married,Male,4707,6,4,2,2,11,32
Sales,Medical,Sales Representative,Married,Male,2400,3,2,1,1,24,24
Research & Development,Medical,Healthcare Representative,Married,Female,9824,18,1,0,2,10,38
Research & Development,Life Sciences,Manufacturing Director,Married,Female,6447,8,6,3,2,1,37
Research & Development,Life Sciences,Research Director,Divorced,Male,19502,31,31,9,5,18,49
Research & Development,Medical,Research Scientist,Married,Male,2725,6,6,4,1,23,24
Sales,Marketing,Sales Executive,Married,Male,6272,6,5,4,2,28,26
Research & Development,Other,Laboratory Technician,Married,Male,2127,1,1,0,1,17,24
Human Resources,Medical,Manager,Married,Male,18200,32,32,7,5,3,50
Sales,Medical,Sales Representative,Married,Male,2096,7,7,6,1,13,25
Research & Development,Life Sciences,Laboratory Technician,Married,Female,2886,6,6,2,1,7,24
Sales,Life Sciences,Sales Representative,Married,Male,2033,1,1,0,1,12,30
Research & Development,Life Sciences,Research Scientist,Married,Male,3622,6,6,3,1,1,34
Sales,Medical,Sales Executive,Divorced,Male,4233,9,3,2,2,13,31
Research & Development,Other,Laboratory Technician,Single,Male,3681,9,3,2,2,25,35
Sales,Medical,Sales Executive,Divorced,Male,5460,13,7,7,2,6,31
Research & Development,Medical,Research Scientist,Divorced,Female,2187,6,5,3,1,6,27
Sales,Marketing,Sales Executive,Married,Male,9602,17,3,0,2,2,37
Research & Development,Life Sciences,Research Scientist,Single,Female,2836,1,1,0,1,1,20
Research & Development,Life Sciences,Healthcare Representative,Married,Female,4089,10,10,2,2,2,42
Research & Development,Other,Research Director,Divorced,Male,16627,21,1,0,4,6,43
Research & Development,Life Sciences,Research Scientist,Single,Female,2619,8,0,0,1,1,38
Research & Development,Medical,Laboratory Technician,Divorced,Male,5679,10,8,7,2,9,43
Research & Development,Life Sciences,Manager,Married,Female,15402,21,3,2,4,1,48
Human Resources,Life Sciences,Human Resources,Single,Female,5985,10,2,2,2,1,44
Sales,Technical Degree,Sales Representative,Divorced,Female,2579,8,8,6,1,14,34
Sales,Marketing,Sales Representative,Divorced,Male,3041,5,4,2,1,2,27
Sales,Technical Degree,Sales Representative,Single,Male,3447,3,3,2,1,22,21
Research & Development,Other,Manager,Married,Male,19513,26,2,1,5,3,44
Research & Development,Medical,Research Scientist,Married,Male,2773,3,2,2,1,6,22
Sales,Marketing,Sales Executive,Divorced,Male,7104,6,5,2,2,8,33
Research & Development,Life Sciences,Research Scientist,Married,Female,6322,6,6,5,2,9,32
Research & Development,Medical,Research Scientist,Divorced,Female,2083,1,1,0,1,3,30
Sales,Medical,Sales Executive,Single,Female,8381,18,14,10,2,1,53
Research & Development,Life Sciences,Research Scientist,Married,Male,2691,10,10,8,1,1,34
Sales,Life Sciences,Sales Executive,Married,Female,4286,5,1,0,2,26,45
Research & Development,Life Sciences,Laboratory Technician,Married,Female,2659,3,3,2,1,6,26
Research & Development,Other,Manufacturing Director,Married,Male,9434,10,10,8,3,3,37
Sales,Medical,Sales Executive,Married,Female,5561,6,6,2,2,3,29
Research & Development,Life Sciences,Research Scientist,Single,Male,6646,17,17,8,2,6,35
Research & Development,Life Sciences,Healthcare Representative,Divorced,Male,7725,15,13,7,2,6,33
Human Resources,Medical,Human Resources,Married,Male,10725,16,9,1,3,19,54
Research & Development,Medical,Manufacturing Director,Divorced,Male,8847,13,3,2,2,9,36
Research & Development,Medical,Research Scientist,Single,Male,2045,5,4,1,1,3,27
Research & Development,Medical,Research Scientist,Single,Male,1009,1,1,1,1,10,20
Research & Development,Life Sciences,Research Scientist,Single,Male,3348,10,10,7,1,3,33
Research & Development,Life Sciences,Laboratory Technician,Married,Male,1281,1,1,0,1,3,35
Research & Development,Medical,Research Scientist,Married,Male,2819,5,3,2,1,4,23
Sales,Life Sciences,Sales Executive,Married,Male,4851,4,3,2,2,8,25
Sales,Marketing,Sales Executive,Single,Female,4028,8,7,5,2,7,38
Research & Development,Life Sciences,Research Scientist,Divorced,Male,2720,10,10,8,1,1,29
Sales,Marketing,Sales Executive,Married,Male,8120,12,2,2,2,2,48
Sales,Medical,Sales Executive,Divorced,Female,4647,6,6,4,2,3,27
Research & Development,Life Sciences,Research Scientist,Single,Male,4680,4,1,0,1,10,37
Research & Development,Medical,Laboratory Technician,Married,Male,3221,20,20,8,1,28,50
Research & Development,Medical,Healthcare Representative,Single,Female,8621,9,8,7,3,9,34
Sales,Life Sciences,Sales Executive,Single,Female,4577,4,2,0,2,3,24
Research & Development,Technical Degree,Healthcare Representative,Single,Female,4553,20,20,10,2,2,39
Sales,Marketing,Sales Executive,Single,Male,5396,10,10,8,2,10,32
Sales,Technical Degree,Sales Executive,Married,Male,6796,18,4,3,2,8,50
Research & Development,Life Sciences,Healthcare Representative,Single,Female,7625,10,9,8,2,1,38
Research & Development,Life Sciences,Manufacturing Director,Married,Female,7412,9,9,7,3,1,27
Research & Development,Life Sciences,Research Director,Single,Female,11159,10,7,7,3,3,32
Sales,Marketing,Sales Executive,Single,Male,4960,20,7,7,2,14,47
Sales,Life Sciences,Sales Executive,Married,Male,10475,20,18,12,3,5,40
Research & Development,Life Sciences,Research Director,Married,Male,14814,32,5,3,4,7,53
Human Resources,Human Resources,Manager,Divorced,Male,19141,23,21,6,5,10,41
Sales,Marketing,Sales Executive,Single,Male,5405,10,2,2,2,16,60
Research & Development,Life Sciences,Manufacturing Director,Divorced,Male,8793,9,9,7,3,10,27
Human Resources,Human Resources,Manager,Married,Male,19189,22,22,10,5,1,41
Sales,Marketing,Sales Representative,Married,Male,3875,4,2,2,1,8,50
Research & Development,Life Sciences,Research Scientist,Single,Female,2216,10,7,7,1,1,28
Research & Development,Life Sciences,Research Director,Married,Female,11713,10,8,5,3,8,36
Research & Development,Life Sciences,Manufacturing Director,Single,Female,7861,10,1,0,3,1,38
Research & Development,Medical,Laboratory Technician,Single,Male,3708,9,5,4,1,24,44
Sales,Medical,Sales Executive,Divorced,Female,13770,28,22,13,4,3,47
Sales,Marketing,Sales Executive,Divorced,Male,5304,10,8,7,2,27,30
Sales,Life Sciences,Sales Representative,Single,Male,2642,1,1,0,1,10,29
Research & Development,Medical,Research Scientist,Divorced,Male,2759,7,2,2,1,19,42
Sales,Life Sciences,Sales Executive,Married,Male,6804,7,2,2,2,15,43
Research & Development,Medical,Healthcare Representative,Single,Female,6142,10,5,3,2,8,34
Research & Development,Medical,Laboratory Technician,Married,Male,2500,5,4,2,1,9,23
Human Resources,Human Resources,Human Resources,Married,Female,6389,12,8,6,2,3,39
Research & Development,Medical,Healthcare Representative,Married,Male,11103,30,10,1,4,9,56
Research & Development,Medical,Research Scientist,Single,Female,2342,5,4,3,1,2,40
Research & Development,Medical,Healthcare Representative,Single,Female,6811,9,7,7,2,7,27
Sales,Marketing,Sales Representative,Divorced,Male,2297,2,2,2,1,10,29
Research & Development,Life Sciences,Laboratory Technician,Single,Male,2450,19,2,2,2,6,53
Research & Development,Life Sciences,Healthcare Representative,Divorced,Female,5093,16,1,0,2,2,35
Research & Development,Life Sciences,Laboratory Technician,Married,Male,5309,10,10,7,2,24,32
Research & Development,Medical,Research Scientist,Married,Male,3057,6,1,1,1,2,38
Research & Development,Life Sciences,Manufacturing Director,Divorced,Female,5121,7,0,0,2,8,34
Sales,Marketing,Manager,Married,Male,16856,34,34,16,4,3,52
Research & Development,Other,Research Scientist,Single,Male,2686,10,10,8,1,1,33
Sales,Medical,Sales Executive,Single,Female,6180,6,6,4,2,26,25
Sales,Technical Degree,Sales Representative,Single,Male,6632,9,8,1,2,2,45
Research & Development,Medical,Research Scientist,Single,Male,3505,2,2,2,1,10,23
Sales,Life Sciences,Sales Executive,Single,Female,6397,8,5,3,2,27,47
Sales,Other,Sales Executive,Single,Male,6274,6,6,4,2,2,34
Research & Development,Medical,Manager,Married,Male,19859,24,5,4,5,2,55
Sales,Life Sciences,Sales Executive,Single,Male,7587,10,10,9,3,8,36
Research & Development,Medical,Research Scientist,Married,Male,4258,5,4,2,1,19,52
Research & Development,Life Sciences,Laboratory Technician,Divorced,Female,4364,5,2,0,1,1,26
Research & Development,Medical,Healthcare Representative,Married,Female,4335,11,8,1,2,27,29
Sales,Technical Degree,Sales Executive,Single,Male,5326,6,4,2,2,8,26
Research & Development,Life Sciences,Research Scientist,Single,Female,3280,10,4,3,1,1,34
Research & Development,Medical,Manufacturing Director,Divorced,Female,5485,9,5,4,2,19,54
Sales,Marketing,Sales Executive,Married,Male,4342,5,4,1,2,8,27
Research & Development,Life Sciences,Research Scientist,Divorced,Female,2782,6,5,3,1,10,37
Research & Development,Life Sciences,Manufacturing Director,Single,Female,5980,17,15,12,2,2,38
Research & Development,Medical,Research Scientist,Single,Female,4381,6,6,3,1,2,34
Sales,Life Sciences,Sales Representative,Married,Female,2572,3,3,2,1,8,35
Research & Development,Life Sciences,Laboratory Technician,Married,Male,3833,7,2,2,1,1,30
Research & Development,Medical,Healthcare Representative,Married,Female,4244,8,8,7,2,2,40
Sales,Life Sciences,Sales Executive,Married,Female,6500,6,3,2,2,8,34
Research & Development,Life Sciences,Manager,Divorced,Male,18430,24,24,9,5,8,42
Research & Development,Life Sciences,Laboratory Technician,Married,Male,1601,1,0,0,1,6,23
Research & Development,Life Sciences,Laboratory Technician,Divorced,Male,2694,1,1,0,1,9,24
Research & Development,Life Sciences,Laboratory Technician,Married,Female,3149,9,5,4,2,11,52
Research & Development,Medical,Research Director,Married,Male,17639,30,4,3,4,2,50
Research & Development,Life Sciences,Laboratory Technician,Married,Female,2319,1,1,0,1,1,29
Research & Development,Medical,Research Director,Married,Male,11691,14,13,7,3,7,33
Sales,Marketing,Sales Executive,Single,Female,5324,6,3,2,2,16,33
Research & Development,Other,Manager,Married,Female,16752,26,26,0,4,2,47
Research & Development,Other,Manufacturing Director,Married,Female,5228,10,9,5,2,1,36
Research & Development,Life Sciences,Research Scientist,Married,Male,2700,10,10,7,1,23,29
Research & Development,Life Sciences,Research Director,Single,Male,19246,40,31,8,5,2,58
Research & Development,Life Sciences,Research Scientist,Single,Female,2506,7,2,2,1,1,35
Research & Development,Life Sciences,Manufacturing Director,Married,Female,6062,8,4,2,2,1,42
Research & Development,Medical,Research Scientist,Single,Male,4382,5,2,1,1,2,28
Human Resources,Human Resources,Human Resources,Married,Male,2143,8,5,4,1,13,36
Research & Development,Life Sciences,Manufacturing Director,Married,Female,6162,14,14,8,2,4,32
Research & Development,Medical,Laboratory Technician,Single,Male,5094,10,1,0,2,16,40
Research & Development,Medical,Manufacturing Director,Single,Female,6877,12,0,0,2,2,30
Research & Development,Life Sciences,Research Scientist,Single,Female,2274,1,1,0,1,2,45
Research & Development,Life Sciences,Manufacturing Director,Married,Male,4434,10,9,8,2,29,42
Research & Development,Life Sciences,Healthcare Representative,Divorced,Male,6288,13,4,2,2,12,38
Research & Development,Life Sciences,Research Scientist,Single,Female,2553,6,5,3,1,16,34
Sales,Marketing,Sales Executive,Married,Female,7654,9,9,7,3,11,49
Sales,Medical,Sales Executive,Single,Male,5160,12,9,3,2,2,55
Research & Development,Life Sciences,Research Director,Married,Male,17159,22,4,0,4,14,43
Research & Development,Technical Degree,Research Director,Divorced,Male,12808,9,9,8,3,5,27
Research & Development,Other,Manufacturing Director,Single,Male,10221,17,8,6,3,7,35
Sales,Marketing,Sales Executive,Married,Female,4779,8,8,5,2,2,28
Human Resources,Human Resources,Human Resources,Married,Male,3737,4,3,2,1,3,34
Research & Development,Medical,Research Scientist,Married,Female,2366,8,8,7,1,5,26
Research & Development,Medical,Research Scientist,Married,Male,1706,0,0,0,1,3,27
Sales,Marketing,Manager,Married,Female,16307,29,20,17,4,26,51
Research & Development,Medical,Healthcare Representative,Single,Male,5933,10,5,3,2,4,44
Research & Development,Medical,Research Scientist,Single,Male,3424,6,4,1,1,2,25
Sales,Medical,Sales Executive,Divorced,Male,4037,9,9,8,2,1,33
Research & Development,Medical,Research Scientist,Single,Female,2559,6,6,1,1,27,35
Sales,Life Sciences,Sales Executive,Married,Male,6201,18,18,11,2,1,36
Sales,Life Sciences,Sales Executive,Divorced,Male,4403,8,5,3,2,13,32
Research & Development,Life Sciences,Research Scientist,Divorced,Male,3761,10,5,3,1,5,30
Sales,Marketing,Sales Executive,Married,Female,10934,35,5,4,3,7,53
Sales,Marketing,Sales Executive,Divorced,Male,10761,18,5,2,3,9,45
Research & Development,Medical,Research Scientist,Married,Female,5175,9,5,3,2,8,32
Research & Development,Medical,Manufacturing Director,Married,Female,13826,31,9,0,4,25,52
Sales,Marketing,Sales Executive,Divorced,Male,6334,9,1,0,2,16,37
Human Resources,Medical,Human Resources,Divorced,Male,4936,6,5,4,1,8,28
Research & Development,Life Sciences,Manufacturing Director,Married,Male,4775,4,2,2,2,1,22
Research & Development,Life Sciences,Laboratory Technician,Married,Male,2818,10,3,2,1,8,44
Research & Development,Medical,Research Scientist,Single,Male,2515,8,2,2,1,2,42
Human Resources,Life Sciences,Human Resources,Married,Male,2342,6,5,3,1,8,36
Sales,Other,Sales Executive,Married,Male,4194,5,5,3,2,3,25
Research & Development,Life Sciences,Manufacturing Director,Married,Female,10685,17,17,15,3,9,35
Research & Development,Life Sciences,Research Scientist,Divorced,Female,2022,10,10,8,1,25,35
Research & Development,Life Sciences,Laboratory Technician,Divorced,Male,2314,4,3,2,1,1,32
Sales,Marketing,Sales Executive,Married,Male,4256,5,5,3,2,4,25
Research & Development,Technical Degree,Research Scientist,Married,Female,3580,7,4,2,1,1,49
Research & Development,Life Sciences,Laboratory Technician,Married,Male,3162,6,5,4,1,4,24
Sales,Life Sciences,Sales Executive,Married,Male,6524,10,10,3,2,5,32
Sales,Marketing,Sales Representative,Married,Male,2899,3,2,2,1,9,38
Research & Development,Life Sciences,Laboratory Technician,Married,Female,5231,17,5,3,2,3,42
Research & Development,Life Sciences,Research Scientist,Married,Male,2356,8,6,2,1,11,31
Sales,Medical,Sales Representative,Divorced,Female,2800,5,3,2,1,1,29
Sales,Marketing,Sales Executive,Married,Male,11836,28,2,2,4,8,53
Research & Development,Technical Degree,Manufacturing Director,Married,Male,10903,16,13,8,3,25,35
Sales,Medical,Sales Representative,Married,Female,2973,10,5,0,1,21,37
Research & Development,Life Sciences,Research Director,Single,Female,14275,33,12,8,4,23,53
Research & Development,Life Sciences,Healthcare Representative,Married,Female,5562,12,5,2,2,1,43
Sales,Marketing,Sales Executive,Married,Female,4537,8,7,7,2,2,47
Sales,Medical,Sales Executive,Single,Male,7642,10,10,9,3,19,37
Research & Development,Life Sciences,Manager,Divorced,Male,17924,31,31,7,4,2,50
Human Resources,Life Sciences,Human Resources,Married,Female,5204,13,5,4,2,2,39
Human Resources,Human Resources,Human Resources,Divorced,Male,2277,7,4,3,1,3,33
Research & Development,Life Sciences,Laboratory Technician,Single,Male,2795,1,1,1,1,25,32
Research & Development,Medical,Laboratory Technician,Divorced,Female,2532,8,4,3,1,7,29
Research & Development,Life Sciences,Research Scientist,Married,Male,2559,8,8,1,1,9,44
Sales,Medical,Sales Executive,Single,Male,4908,4,4,2,2,5,28
Research & Development,Life Sciences,Laboratory Technician,Divorced,Male,2380,3,1,0,1,2,58
Research & Development,Life Sciences,Manufacturing Director,Divorced,Female,4765,4,1,0,2,8,43
Sales,Medical,Sales Representative,Single,Female,2044,2,2,2,1,2,20
Research & Development,Other,Research Scientist,Single,Female,2693,1,1,0,1,18,21
Research & Development,Life Sciences,Healthcare Representative,Married,Male,6586,17,16,11,2,14,36
Sales,Life Sciences,Sales Representative,Single,Female,3294,3,3,2,1,2,47
Research & Development,Life Sciences,Manufacturing Director,Married,Female,4171,4,3,2,2,3,22
Research & Development,Life Sciences,Laboratory Technician,Divorced,Female,2778,10,7,0,1,2,41
Research & Development,Medical,Research Scientist,Divorced,Female,2377,6,2,2,1,9,28
Research & Development,Medical,Laboratory Technician,Married,Male,2404,8,2,2,1,6,39
Research & Development,Life Sciences,Research Scientist,Single,Female,2318,1,1,0,1,4,27
Research & Development,Life Sciences,Laboratory Technician,Divorced,Male,2008,1,1,0,1,10,34
Sales,Medical,Sales Executive,Single,Female,6244,10,5,3,2,14,42
Research & Development,Other,Research Scientist,Single,Male,2799,6,3,2,1,1,33
Research & Development,Technical Degree,Healthcare Representative,Divorced,Female,10552,24,6,4,3,5,58
Sales,Life Sciences,Sales Representative,Married,Male,2329,13,7,2,1,7,31
Research & Development,Life Sciences,Healthcare Representative,Married,Female,4014,10,10,7,2,21,35
Research & Development,Other,Laboratory Technician,Married,Female,7403,29,26,7,3,8,49
Research & Development,Medical,Research Scientist,Married,Male,2259,13,0,0,1,20,48
Sales,Marketing,Sales Executive,Married,Female,6932,9,9,0,2,20,31
Research & Development,Other,Research Scientist,Single,Male,4678,8,6,1,1,7,36
Research & Development,Technical Degree,Research Director,Married,Female,13582,15,15,11,3,1,38
Research & Development,Life Sciences,Laboratory Technician,Married,Female,2332,5,3,2,1,1,32
Sales,Marketing,Sales Representative,Married,Male,2413,1,1,0,1,19,25
Sales,Marketing,Sales Executive,Divorced,Male,9705,11,1,0,3,10,40
Sales,Medical,Sales Executive,Single,Male,4294,7,7,7,2,1,26
Research & Development,Medical,Laboratory Technician,Single,Male,4721,20,18,17,1,6,41
Research & Development,Medical,Laboratory Technician,Single,Male,2519,16,11,9,1,2,36
Sales,Other,Sales Representative,Single,Male,2121,1,1,0,1,21,19
Research & Development,Technical Degree,Laboratory Technician,Single,Male,2973,1,1,0,1,4,20
Research & Development,Medical,Healthcare Representative,Married,Female,5855,10,9,5,2,12,31
Research & Development,Medical,Research Scientist,Divorced,Male,3617,3,1,0,1,9,40
Research & Development,Medical,Manufacturing Director,Married,Female,6725,8,8,3,2,3,32
Sales,Life Sciences,Sales Executive,Married,Male,10325,16,16,7,3,3,36
Research & Development,Life Sciences,Healthcare Representative,Single,Female,6949,6,5,4,2,1,33
Sales,Life Sciences,Sales Executive,Married,Male,10609,17,14,7,3,1,37
